SYMBOL,S.No.,Name,Price,P/E,Cap,QtrSV,QtrPV,QoQS,QoQP,Prom.,DII,FII,ExpQV,Down%,PromC,IntCov,3M-RETURN,SECTOR,FNO
KALYANIFRG,4.0,Kalyani Forge,782.15,41.88,284.7,-1.81,20.53,-5.95,-53.57,58.71,0.0,0.0,-3.47,7.98,0.0,2.42,36.58,"Castings, Forgings & Fastners",False
539479,3.0,GTV Engineering,765.0,21.63,238.95,-30.18,84.55,-7.25,1.65,67.48,0.0,0.0,5.04,4.38,0.0,605.0,5.92,"Castings, Forgings & Fastners",False
ULTRACEMCO,4.0,UltraTech Cem.,11935.1,57.51,351702.56,12.95,7.44,29.72,81.51,59.23,16.79,15.17,5.45,3.29,-0.77,7.55,5.59,Cement,True
SHREECEM,3.0,Shree Cement,31270.0,100.5,112824.51,2.43,-14.9,20.98,196.81,62.55,15.07,9.7,-4.84,1.87,0.0,19.35,9.96,Cement,True
JKCEMENT,5.0,J K Cements,5182.1,63.44,40041.18,-0.16,-33.19,14.46,39.46,45.68,24.5,16.14,2.0,3.85,0.0,3.48,12.65,Cement,False
DALBHARAT,2.0,Dalmia BharatLtd,2067.45,49.91,38778.13,-5.02,38.1,28.61,565.15,55.84,16.43,8.29,-4.64,1.77,0.0,5.45,17.02,Cement,True
RAMCOCEM,6.0,The Ramco Cement,1003.25,121.15,23706.0,-6.04,-94.13,-2.97,604.62,42.55,30.14,7.29,-4.67,5.35,-0.2,1.02,18.72,Cement,True
NUVOCO,8.0,Nuvoco Vistas,358.45,586.16,12802.28,3.71,64.96,26.27,369.74,72.02,19.37,3.55,-3.15,7.05,0.0,2.99,15.08,Cement,False
JKLAKSHMI,9.0,JK Lakshmi Cem.,860.65,37.5,10127.26,-12.1,-56.94,21.27,414.24,46.34,25.24,12.06,-11.12,7.95,0.0,2.92,15.52,Cement,False
ORIENTCEM,7.0,Orient Cement,352.7,79.42,7246.57,-7.08,-38.31,28.26,314.89,37.86,13.36,8.41,-14.5,7.04,0.0,13.01,6.6,Cement,False
PIDILITIND,11.0,Pidilite Inds.,3123.6,75.87,158881.51,8.25,25.89,-6.76,-23.26,69.5,9.43,11.6,6.15,8.53,-0.1,42.89,10.88,Chemicals,True
