S.No.,Name,Price,P/E,Cap,QtrSV,QtrPV,QoQS,QoQP,Prom.,DII,FII,ExpQV,Down%,PromC,IntCov,3M-RETURN,SYMBOL,SECTOR
25.,Super Crop Safe,14.65,21.18,58.91,15.02,19.74,2.53,59.65,34.52,0.00,0.00,51.33,44.59,-0.30,2.84,-17.85,530883,Agro Chemicals
26.,Astec Lifescienc,729.50,,1430.65,-22.26,-1575.00,27.35,60.17,70.87,4.34,0.25,1.68,50.96,4.12,-0.51,-13.95,ASTEC,Agro Chemicals
27.,Best Agrolife,346.95,42.53,820.35,-12.84,-265.51,-63.29,-125.52,50.44,2.74,5.80,-14.13,52.63,0.34,-1.03,-16.32,BESTAGRO,Agro Chemicals
28.,Heranba Inds,263.15,24.07,1052.95,13.89,-173.20,-21.98,-127.54,74.94,0.21,0.10,6.10,53.18,0.00,-0.20,-4.66,HERANBA,Agro Chemicals
29.,Ambey,38.75,19.65,96.67,,,12.81,69.71,70.11,2.34,0.01,,60.13,0.21,3.02,-28.83,AMBEY,Agro Chemicals
21.,India Pesticides,166.30,29.50,1915.17,14.30,-28.88,-24.72,-34.44,63.61,0.00,1.84,4.00,36.98,0.00,23.77,22.57,IPL,Agro Chemicals
22.,Dharmaj Crop,243.80,24.34,823.98,41.40,-84.73,-43.95,-94.39,70.40,0.47,4.14,43.33,37.43,0.00,1.47,23.26,DHARMAJ,Agro Chemicals
23.,Bhaskar Agrochem,72.55,16.73,37.80,19.76,19.59,-24.63,-44.16,62.20,0.00,0.00,17.06,40.49,0.00,6.58,-4.53,524534,Agro Chemicals
24.,Daikaffil Chem,164.00,,98.40,,-28.57,,37.93,52.65,0.00,0.00,,41.64,1.40,,1.30,530825,Agro Chemicals
25.,Super Crop Safe,14.65,21.18,58.91,15.02,19.74,2.53,59.65,34.52,0.00,0.00,51.33,44.59,-0.30,2.84,-17.85,530883,Agro Chemicals
26.,Astec Lifescienc,729.50,,1430.65,-22.26,-1575.00,27.35,60.17,70.87,4.34,0.25,1.68,50.96,4.12,-0.51,-13.95,ASTEC,Agro Chemicals
27.,Best Agrolife,346.95,42.53,820.35,-12.84,-265.51,-63.29,-125.52,50.44,2.74,5.80,-14.13,52.63,0.34,-1.03,-16.32,BESTAGRO,Agro Chemicals
28.,Heranba Inds,263.15,24.07,1052.95,13.89,-173.20,-21.98,-127.54,74.94,0.21,0.10,6.10,53.18,0.00,-0.20,-4.66,HERANBA,Agro Chemicals
29.,Ambey,38.75,19.65,96.67,,,12.81,69.71,70.11,2.34,0.01,,60.13,0.21,3.02,-28.83,AMBEY,Agro Chemicals
1.,Interglobe Aviat,5599.60,35.60,216390.58,13.67,-18.56,30.30,346.97,49.27,20.66,25.12,17.42,0.87,0.00,2.93,32.34,INDIGO,Air Transport Service
2.,TAAL Enterprises,3200.00,21.39,997.24,-1.63,47.92,-11.71,-21.82,50.80,0.21,2.21,1.20,11.06,-0.18,80.58,18.60,539956,Air Transport Service
3.,Global Vectra,225.00,,315.00,10.02,-188.76,14.71,27.71,75.00,0.00,0.00,21.24,35.00,0.00,0.53,-13.76,GLOBALVECT,Air Transport Service
4.,SpiceJet,45.53,,6435.25,-35.33,108.28,35.13,105.65,33.46,6.92,11.85,-24.55,43.02,4.33,1.41,4.24,SPICEJET,Air Transport Service
5.,Afcom,671.05,51.91,1668.07,25.12,54.72,15.86,42.34,42.73,1.00,0.00,,47.12,0.00,12.71,-17.59,544224,Air Transport Service
1.,Interglobe Aviat,5599.60,35.60,216390.58,13.67,-18.56,30.30,346.97,49.27,20.66,25.12,17.42,0.87,0.00,2.93,32.34,INDIGO,Air Transport Service
2.,TAAL Enterprises,3200.00,21.39,997.24,-1.63,47.92,-11.71,-21.82,50.80,0.21,2.21,1.20,11.06,-0.18,80.58,18.60,539956,Air Transport Service
3.,Global Vectra,225.00,,315.00,10.02,-188.76,14.71,27.71,75.00,0.00,0.00,21.24,35.00,0.00,0.53,-13.76,GLOBALVECT,Air Transport Service
4.,SpiceJet,45.53,,6435.25,-35.33,108.28,35.13,105.65,33.46,6.92,11.85,-24.55,43.02,4.33,1.41,4.24,SPICEJET,Air Transport Service
5.,Afcom,671.05,51.91,1668.07,25.12,54.72,15.86,42.34,42.73,1.00,0.00,,47.12,0.00,12.71,-17.59,544224,Air Transport Service
1.,Interglobe Aviat,5599.60,35.60,216390.58,13.67,-18.56,30.30,346.97,49.27,20.66,25.12,17.42,0.87,0.00,2.93,32.34,INDIGO,Air Transport Service
2.,TAAL Enterprises,3200.00,21.39,997.24,-1.63,47.92,-11.71,-21.82,50.80,0.21,2.21,1.20,11.06,-0.18,80.58,18.60,539956,Air Transport Service
3.,Global Vectra,225.00,,315.00,10.02,-188.76,14.71,27.71,75.00,0.00,0.00,21.24,35.00,0.00,0.53,-13.76,GLOBALVECT,Air Transport Service
4.,SpiceJet,45.53,,6435.25,-35.33,108.28,35.13,105.65,33.46,6.92,11.85,-24.55,43.02,4.33,1.41,4.24,SPICEJET,Air Transport Service
