S.No.,Name,Price,P/E,Cap,QtrSV,QtrPV,QoQS,QoQP,Prom.,DII,FII,ExpQV,Down%,PromC,IntCov,3M-RETURN,SYMBOL,SECTOR
21.,SJVN,100.73,43.19,39584.83,23.50,-5.62,-34.62,-66.19,81.85,4.20,2.49,18.45,36.91,0.00,1.85,9.58,SJVN,Power Generation & Distribution
22.,JP Power Ven.,14.95,12.58,10245.96,-11.48,-82.53,17.61,22.88,24.00,17.52,6.31,-14.00,37.11,0.00,3.06,9.14,JPPOWER,Power Generation & Distribution
23.,Indowind Energy,20.48,40.09,263.78,-18.40,0.00,-40.48,-101.58,47.16,0.00,0.02,-20.80,37.31,0.00,0.86,11.48,INDOWIND,Power Generation & Distribution
24.,JSW Energy,501.45,44.90,87641.85,15.73,18.18,30.77,163.26,69.26,10.94,13.43,2.83,37.70,-0.06,1.53,11.51,JSWENERGY,Power Generation & Distribution
25.,Adani Power,552.15,16.73,212960.89,6.54,-5.04,4.14,-11.59,74.96,1.64,12.36,13.12,38.43,0.00,5.26,11.14,ADANIPOWER,Power Generation & Distribution
26.,Gita Renewable,122.00,,50.17,-50.00,-122.73,-50.00,23.08,69.91,0.00,0.00,253.03,39.60,0.00,,-10.42,539013,Power Generation & Distribution
27.,KPI Green Energy,448.50,27.49,8830.56,96.78,129.28,24.23,22.33,48.78,1.64,8.05,72.75,39.83,0.01,10.73,8.50,KPIGREEN,Power Generation & Distribution
28.,Bhagyanagar Ind,75.87,20.41,242.75,17.89,44.57,-3.32,6.97,70.53,0.00,0.00,1.31,41.16,-0.09,2.17,-3.85,BHAGYANGR,Power Generation & Distribution
29.,Karma Energy Ltd,57.55,,66.58,-37.75,-41.41,-78.73,-181.40,74.70,0.00,0.00,-28.96,43.36,0.00,-31.40,-0.53,KARMAENG,Power Generation & Distribution
30.,India Power Corp,13.46,79.62,1310.71,10.87,-33.42,4.02,-15.87,59.47,0.12,0.15,0.20,43.56,0.00,1.66,-5.35,DPSCLTD,Power Generation & Distribution
31.,Orient Green,13.02,51.65,1527.28,15.26,29.03,20.20,32.66,24.38,1.35,0.81,-1.39,44.43,0.00,0.09,-1.00,GREENPOWER,Power Generation & Distribution
32.,Energy Devl.Co.,19.93,133.34,94.67,-12.09,-114.63,-46.52,-1266.26,58.14,0.00,0.00,17.97,47.41,0.00,0.82,0.16,ENERGYDEV,Power Generation & Distribution
33.,RattanIndia Pow.,10.74,25.95,5767.49,2.44,310.63,27.67,2808.55,44.06,6.65,5.25,-1.47,49.17,0.00,2.06,10.22,RTNPOWER,Power Generation & Distribution
34.,SRM Energy Ltd,13.74,,12.45,,25.00,,25.00,71.19,0.06,0.00,,50.16,0.00,,21.22,523222,Power Generation & Distribution
35.,Sri KPR Inds.,24.20,7.89,48.77,-36.81,-100.00,-58.54,-100.00,60.37,0.04,0.00,-13.55,50.51,-1.84,,-5.58,514442,Power Generation & Distribution
36.,Adani Green,994.50,95.42,157531.98,21.61,75.71,31.32,-19.20,60.94,2.40,12.45,24.11,54.26,0.00,1.42,9.44,ADANIGREEN,Power Generation & Distribution
37.,Waa Solar,88.75,16.89,117.74,355.92,356.60,-3.62,2603.45,67.86,0.00,0.00,,60.18,0.01,2.88,7.00,541445,Power Generation & Distribution
31.,Orient Green,13.02,51.65,1527.28,15.26,29.03,20.20,32.66,24.38,1.35,0.81,-1.39,44.43,0.00,0.09,-1.00,GREENPOWER,Power Generation & Distribution
32.,Energy Devl.Co.,19.93,133.34,94.67,-12.09,-114.63,-46.52,-1266.26,58.14,0.00,0.00,17.97,47.41,0.00,0.82,0.16,ENERGYDEV,Power Generation & Distribution
33.,RattanIndia Pow.,10.74,25.95,5767.49,2.44,310.63,27.67,2808.55,44.06,6.65,5.25,-1.47,49.17,0.00,2.06,10.22,RTNPOWER,Power Generation & Distribution
34.,SRM Energy Ltd,13.74,,12.45,,25.00,,25.00,71.19,0.06,0.00,,50.16,0.00,,21.22,523222,Power Generation & Distribution
35.,Sri KPR Inds.,24.20,7.89,48.77,-36.81,-100.00,-58.54,-100.00,60.37,0.04,0.00,-13.55,50.51,-1.84,,-5.58,514442,Power Generation & Distribution
36.,Adani Green,994.50,95.42,157531.98,21.61,75.71,31.32,-19.20,60.94,2.40,12.45,24.11,54.26,0.00,1.42,9.44,ADANIGREEN,Power Generation & Distribution
37.,Waa Solar,88.75,16.89,117.74,355.92,356.60,-3.62,2603.45,67.86,0.00,0.00,,60.18,0.01,2.88,7.00,541445,Power Generation & Distribution
1.,Anzen IYEP Trust,114.00,,2236.61,0.56,53.23,-0.05,5.06,57.19,,,0.09,0.00,-13.82,0.82,,ANZEN,Power Infrastructure
2.,Oriana Power Ltd,1500.20,31.40,3048.28,461.26,747.64,12.77,0.04,57.97,0.30,0.85,,49.73,0.00,9.67,6.23,ORIANA,Power Infrastructure
3.,Waaree Renewab.,1027.00,46.04,10706.06,74.40,88.79,32.27,75.33,74.39,0.24,1.13,118.99,59.13,0.00,29.61,20.14,WAAREERTL,Power Infrastructure
1.,Anzen IYEP Trust,114.00,,2236.61,0.56,53.23,-0.05,5.06,57.19,,,0.09,0.00,-13.82,0.82,,ANZEN,Power Infrastructure
2.,Oriana Power Ltd,1500.20,31.40,3048.28,461.26,747.64,12.77,0.04,57.97,0.30,0.85,,49.73,0.00,9.67,6.23,ORIANA,Power Infrastructure
3.,Waaree Renewab.,1027.85,46.08,10714.92,74.40,88.79,32.27,75.33,74.39,0.24,1.13,118.99,59.09,0.00,29.61,20.14,WAAREERTL,Power Infrastructure
1.,Anzen IYEP Trust,114.00,,2236.61,0.56,53.23,-0.05,5.06,57.19,,,0.09,0.00,-13.82,0.82,,ANZEN,Power Infrastructure
2.,Oriana Power Ltd,1500.20,31.40,3048.28,461.26,747.64,12.77,0.04,57.97,0.30,0.85,,49.73,0.00,9.67,6.23,ORIANA,Power Infrastructure
3.,Waaree Renewab.,1027.85,46.08,10714.92,74.40,88.79,32.27,75.33,74.39,0.24,1.13,118.99,59.09,0.00,29.61,20.14,WAAREERTL,Power Infrastructure
1.,Anzen IYEP Trust,114.00,,2236.61,0.56,53.23,-0.05,5.06,57.19,,,0.09,0.00,-13.82,0.82,,ANZEN,Power Infrastructure
2.,Oriana Power Ltd,1500.20,31.40,3048.28,461.26,747.64,12.77,0.04,57.97,0.30,0.85,,49.73,0.00,9.67,6.23,ORIANA,Power Infrastructure
3.,Waaree Renewab.,1027.85,46.08,10714.92,74.40,88.79,32.27,75.33,74.39,0.24,1.13,118.99,59.09,0.00,29.61,20.14,WAAREERTL,Power Infrastructure
1.,Anzen IYEP Trust,114.00,,2236.61,0.56,53.23,-0.05,5.06,57.19,,,0.09,0.00,-13.82,0.82,,ANZEN,Power Infrastructure
2.,Oriana Power Ltd,1500.20,31.40,3048.28,461.26,747.64,12.77,0.04,57.97,0.30,0.85,,49.73,0.00,9.67,6.23,ORIANA,Power Infrastructure
3.,Waaree Renewab.,1027.85,46.08,10714.92,74.40,88.79,32.27,75.33,74.39,0.24,1.13,118.99,59.09,0.00,29.61,20.14,WAAREERTL,Power Infrastructure
1.,Doms Industries,2836.10,86.45,17211.52,34.85,35.86,9.47,1.12,70.39,15.82,9.90,23.37,8.95,0.00,21.38,14.90,DOMS,Printing & Stationery
2.,S Chand & Compan,230.20,16.27,811.48,31.24,29.41,167.42,51.54,47.02,2.94,3.84,12.04,10.25,-0.04,-8.78,32.12,SCHAND,Printing & Stationery
3.,Chetana,108.20,18.35,220.73,,,,,73.53,4.68,0.04,,13.78,0.00,9.66,15.46,CHETANA,Printing & Stationery
4.,Navneet Educat.,148.00,15.98,3347.99,9.11,96.06,3.88,425.31,63.35,12.68,3.95,3.71,17.36,0.00,0.84,13.28,NAVNETEDUL,Printing & Stationery
5.,Flair Writing,281.20,25.35,2963.73,6.46,25.65,-5.31,-15.73,78.59,9.55,0.06,-1.09,18.01,0.00,40.05,28.20,FLAIR,Printing & Stationery
6.,Gala Global,3.40,35.04,18.58,-55.26,-85.37,18.26,-96.69,0.15,0.00,0.00,-53.00,23.25,0.00,1.31,1.51,539228,Printing & Stationery
7.,Unick Fix-A-Form,69.00,13.92,37.85,-3.72,-38.46,-15.40,-129.03,71.57,0.00,0.00,1.64,25.00,0.00,0.53,3.76,541503,Printing & Stationery
8.,Olympic Cards,3.26,,5.31,-23.83,14.29,-1.73,-26.67,60.77,0.00,0.00,-29.25,29.13,0.00,-2.05,-10.29,534190,Printing & Stationery
9.,Linc,144.65,22.27,860.52,9.12,10.57,28.04,43.05,61.02,0.00,1.06,6.23,30.42,1.59,35.67,22.81,LINC,Printing & Stationery
10.,Shakti Press,27.00,,9.50,45.85,-86.96,8.44,-40.00,49.50,0.12,0.00,16.65,32.45,-1.13,1.10,1.82,526841,Printing & Stationery
11.,Repro India,527.00,,754.86,8.65,-70.54,20.33,126.74,46.78,0.00,9.81,-0.09,35.10,0.00,1.58,13.34,REPRO,Printing & Stationery
12.,Infomedia Press,6.03,,30.26,,-5.80,,-2.25,50.69,0.77,0.00,,37.06,0.00,-0.01,2.27,INFOMEDIA,Printing & Stationery
13.,Sundaram Multi.,2.22,,105.19,-2.64,-6.75,-11.00,-46.99,31.11,0.05,0.00,0.70,44.50,0.00,-2.41,0.94,SUNDARAM,Printing & Stationery
14.,Alkosign,99.95,,71.91,,,,,41.89,0.00,9.94,,45.37,0.57,4.85,3.31,543453,Printing & Stationery
15.,Kokuyo Camlin,118.90,100.48,1192.62,-4.45,-174.69,-6.93,60.87,74.99,0.00,0.21,-4.12,48.50,0.00,-4.65,13.41,KOKUYOCMLN,Printing & Stationery
16.,Kaiser Corporat.,6.03,,31.73,-66.20,-14400.00,-75.25,-5300.00,59.52,0.00,0.00,-36.32,52.52,0.00,-4.57,26.29,531780,Printing & Stationery
17.,Inland Printers,47.17,,23.32,,11.11,,20.00,16.94,0.02,0.00,,68.51,0.00,-1.67,-28.12,530787,Printing & Stationery
11.,Repro India,527.00,,754.86,8.65,-70.54,20.33,126.74,46.78,0.00,9.81,-0.09,35.10,0.00,1.58,13.34,REPRO,Printing & Stationery
12.,Infomedia Press,6.03,,30.26,,-5.80,,-2.25,50.69,0.77,0.00,,37.06,0.00,-0.01,2.27,INFOMEDIA,Printing & Stationery
13.,Sundaram Multi.,2.22,,105.19,-2.64,-6.75,-11.00,-46.99,31.11,0.05,0.00,0.70,44.50,0.00,-2.41,0.94,SUNDARAM,Printing & Stationery
14.,Alkosign,99.95,,71.91,,,,,41.89,0.00,9.94,,45.37,0.57,4.85,3.31,543453,Printing & Stationery
15.,Kokuyo Camlin,118.90,100.48,1192.62,-4.45,-174.69,-6.93,60.87,74.99,0.00,0.21,-4.12,48.50,0.00,-4.65,13.41,KOKUYOCMLN,Printing & Stationery
16.,Kaiser Corporat.,6.03,,31.73,-66.20,-14400.00,-75.25,-5300.00,59.52,0.00,0.00,-36.32,52.52,0.00,-4.57,26.29,531780,Printing & Stationery
17.,Inland Printers,47.17,,23.32,,11.11,,20.00,16.94,0.02,0.00,,68.51,0.00,-1.67,-28.12,530787,Printing & Stationery
11.,Repro India,527.00,,754.86,8.65,-70.54,20.33,126.74,46.78,0.00,9.81,-0.09,35.10,0.00,1.58,13.34,REPRO,Printing & Stationery
12.,Infomedia Press,6.03,,30.26,,-5.80,,-2.25,50.69,0.77,0.00,,37.06,0.00,-0.01,2.27,INFOMEDIA,Printing & Stationery
13.,Sundaram Multi.,2.22,,105.19,-2.64,-6.75,-11.00,-46.99,31.11,0.05,0.00,0.70,44.50,0.00,-2.41,0.94,SUNDARAM,Printing & Stationery
14.,Alkosign,99.95,,71.91,,,,,41.89,0.00,9.94,,45.37,0.57,4.85,3.31,543453,Printing & Stationery
15.,Kokuyo Camlin,118.90,100.48,1192.62,-4.45,-174.69,-6.93,60.87,74.99,0.00,0.21,-4.12,48.50,0.00,-4.65,13.41,KOKUYOCMLN,Printing & Stationery
16.,Kaiser Corporat.,6.03,,31.73,-66.20,-14400.00,-75.25,-5300.00,59.52,0.00,0.00,-36.32,52.52,0.00,-4.57,26.29,531780,Printing & Stationery
17.,Inland Printers,47.17,,23.32,,11.11,,20.00,16.94,0.02,0.00,,68.51,0.00,-1.67,-28.12,530787,Printing & Stationery
11.,Repro India,527.00,,754.86,8.65,-70.54,20.33,126.74,46.78,0.00,9.81,-0.09,35.10,0.00,1.58,13.34,REPRO,Printing & Stationery
12.,Infomedia Press,6.03,,30.26,,-5.80,,-2.25,50.69,0.77,0.00,,37.06,0.00,-0.01,2.27,INFOMEDIA,Printing & Stationery
13.,Sundaram Multi.,2.22,,105.19,-2.64,-6.75,-11.00,-46.99,31.11,0.05,0.00,0.70,44.50,0.00,-2.41,0.94,SUNDARAM,Printing & Stationery
14.,Alkosign,99.95,,71.91,,,,,41.89,0.00,9.94,,45.37,0.57,4.85,3.31,543453,Printing & Stationery
15.,Kokuyo Camlin,118.90,100.48,1192.62,-4.45,-174.69,-6.93,60.87,74.99,0.00,0.21,-4.12,48.50,0.00,-4.65,13.41,KOKUYOCMLN,Printing & Stationery
16.,Kaiser Corporat.,6.03,,31.73,-66.20,-14400.00,-75.25,-5300.00,59.52,0.00,0.00,-36.32,52.52,0.00,-4.57,26.29,531780,Printing & Stationery
17.,Inland Printers,47.17,,23.32,,11.11,,20.00,16.94,0.02,0.00,,68.51,0.00,-1.67,-28.12,530787,Printing & Stationery
1.,Grill Splendour,114.95,,59.87,-34.28,-378.85,-34.76,-55.91,36.64,0.00,0.00,,3.44,0.00,-7.86,24.74,BIRDYS,Quick Service Restaurant
2.,Jubilant Food.,678.75,196.51,44786.97,33.64,-3.91,-2.21,14.11,41.94,31.03,20.54,44.43,14.81,0.00,1.60,2.16,JUBLFOOD,Quick Service Restaurant
3.,Devyani Intl.,186.00,1673.15,22436.56,53.52,-109.66,5.91,-54.97,62.72,16.87,10.46,46.81,16.50,0.00,1.13,12.81,DEVYANI,Quick Service Restaurant
4.,Sapphire Foods,315.10,365.05,10126.77,12.61,132.83,-5.97,-84.13,26.08,38.51,30.42,11.13,21.42,-0.05,1.15,2.47,SAPPHIRE,Quick Service Restaurant
5.,Westlife Food,696.10,893.39,10854.71,7.27,100.00,-7.74,-78.32,56.26,22.33,12.86,4.30,27.45,0.01,1.04,-3.05,WESTLIFE,Quick Service Restaurant
6.,Restaurant Brand,83.00,,4831.16,5.76,-39.30,1.05,16.42,11.27,40.45,20.37,7.12,30.19,-1.89,-0.38,18.26,RBA,Quick Service Restaurant
7.,Coffee Day Enter,30.51,16.98,644.53,9.15,-114.86,4.11,-165.89,8.21,1.18,0.63,5.77,51.11,0.01,0.46,25.66,COFFEEDAY,Quick Service Restaurant
8.,Barbeque-Nation,344.30,,1345.43,-0.60,4.38,7.59,170.97,33.73,21.49,10.46,0.31,51.64,0.18,1.24,16.71,BARBEQUE,Quick Service Restaurant
1.,Grill Splendour,114.95,,59.87,-34.28,-378.85,-34.76,-55.91,36.64,0.00,0.00,,3.44,0.00,-7.86,24.74,BIRDYS,Quick Service Restaurant
2.,Jubilant Food.,678.75,196.51,44786.97,33.64,-3.91,-2.21,14.11,41.94,31.03,20.54,44.43,14.81,0.00,1.60,2.16,JUBLFOOD,Quick Service Restaurant
3.,Devyani Intl.,186.00,1673.15,22436.56,53.52,-109.66,5.91,-54.97,62.72,16.87,10.46,46.81,16.50,0.00,1.13,12.81,DEVYANI,Quick Service Restaurant
4.,Sapphire Foods,315.10,365.05,10126.77,12.61,132.83,-5.97,-84.13,26.08,38.51,30.42,11.13,21.42,-0.05,1.15,2.47,SAPPHIRE,Quick Service Restaurant
5.,Westlife Food,696.10,893.39,10854.71,7.27,100.00,-7.74,-78.32,56.26,22.33,12.86,4.30,27.45,0.01,1.04,-3.05,WESTLIFE,Quick Service Restaurant
6.,Restaurant Brand,83.00,,4831.16,5.76,-39.30,1.05,16.42,11.27,40.45,20.37,7.12,30.19,-1.89,-0.38,18.26,RBA,Quick Service Restaurant
7.,Coffee Day Enter,30.51,16.98,644.53,9.15,-114.86,4.11,-165.89,8.21,1.18,0.63,5.77,51.11,0.01,0.46,25.66,COFFEEDAY,Quick Service Restaurant
8.,Barbeque-Nation,344.30,,1345.43,-0.60,4.38,7.59,170.97,33.73,21.49,10.46,0.31,51.64,0.18,1.24,16.71,BARBEQUE,Quick Service Restaurant
1.,Grill Splendour,114.95,,59.87,-34.28,-378.85,-34.76,-55.91,36.64,0.00,0.00,,3.44,0.00,-7.86,24.74,BIRDYS,Quick Service Restaurant
2.,Jubilant Food.,678.75,196.51,44786.97,33.64,-3.91,-2.21,14.11,41.94,31.03,20.54,44.43,14.81,0.00,1.60,2.16,JUBLFOOD,Quick Service Restaurant
3.,Devyani Intl.,186.00,1673.15,22436.56,53.52,-109.66,5.91,-54.97,62.72,16.87,10.46,46.81,16.50,0.00,1.13,12.81,DEVYANI,Quick Service Restaurant
4.,Sapphire Foods,315.10,365.05,10126.77,12.61,132.83,-5.97,-84.13,26.08,38.51,30.42,11.13,21.42,-0.05,1.15,2.47,SAPPHIRE,Quick Service Restaurant
5.,Westlife Food,696.10,893.39,10854.71,7.27,100.00,-7.74,-78.32,56.26,22.33,12.86,4.30,27.45,0.01,1.04,-3.05,WESTLIFE,Quick Service Restaurant
6.,Restaurant Brand,83.00,,4831.16,5.76,-39.30,1.05,16.42,11.27,40.45,20.37,7.12,30.19,-1.89,-0.38,18.26,RBA,Quick Service Restaurant
7.,Coffee Day Enter,30.51,16.98,644.53,9.15,-114.86,4.11,-165.89,8.21,1.18,0.63,5.77,51.11,0.01,0.46,25.66,COFFEEDAY,Quick Service Restaurant
8.,Barbeque-Nation,344.30,,1345.43,-0.60,4.38,7.59,170.97,33.73,21.49,10.46,0.31,51.64,0.18,1.24,16.71,BARBEQUE,Quick Service Restaurant
1.,Grill Splendour,114.95,,59.87,-34.28,-378.85,-34.76,-55.91,36.64,0.00,0.00,,3.44,0.00,-7.86,24.74,BIRDYS,Quick Service Restaurant
2.,Jubilant Food.,678.75,196.51,44786.97,33.64,-3.91,-2.21,14.11,41.94,31.03,20.54,44.43,14.81,0.00,1.60,2.16,JUBLFOOD,Quick Service Restaurant
3.,Devyani Intl.,186.00,1673.15,22436.56,53.52,-109.66,5.91,-54.97,62.72,16.87,10.46,46.81,16.50,0.00,1.13,12.81,DEVYANI,Quick Service Restaurant
4.,Sapphire Foods,315.10,365.05,10126.77,12.61,132.83,-5.97,-84.13,26.08,38.51,30.42,11.13,21.42,-0.05,1.15,2.47,SAPPHIRE,Quick Service Restaurant
5.,Westlife Food,696.10,893.39,10854.71,7.27,100.00,-7.74,-78.32,56.26,22.33,12.86,4.30,27.45,0.01,1.04,-3.05,WESTLIFE,Quick Service Restaurant
6.,Restaurant Brand,83.00,,4831.16,5.76,-39.30,1.05,16.42,11.27,40.45,20.37,7.12,30.19,-1.89,-0.38,18.26,RBA,Quick Service Restaurant
7.,Coffee Day Enter,30.51,16.98,644.53,9.15,-114.86,4.11,-165.89,8.21,1.18,0.63,5.77,51.11,0.01,0.46,25.66,COFFEEDAY,Quick Service Restaurant
8.,Barbeque-Nation,344.30,,1345.43,-0.60,4.38,7.59,170.97,33.73,21.49,10.46,0.31,51.64,0.18,1.24,16.71,BARBEQUE,Quick Service Restaurant
1.,Grill Splendour,114.95,,59.87,-34.28,-378.85,-34.76,-55.91,36.64,0.00,0.00,,3.44,0.00,-7.86,24.74,BIRDYS,Quick Service Restaurant
2.,Jubilant Food.,678.75,196.51,44786.97,33.64,-3.91,-2.21,14.11,41.94,31.03,20.54,44.43,14.81,0.00,1.60,2.16,JUBLFOOD,Quick Service Restaurant
3.,Devyani Intl.,186.00,1673.15,22436.56,53.52,-109.66,5.91,-54.97,62.72,16.87,10.46,46.81,16.50,0.00,1.13,12.81,DEVYANI,Quick Service Restaurant
4.,Sapphire Foods,315.10,365.05,10126.77,12.61,132.83,-5.97,-84.13,26.08,38.51,30.42,11.13,21.42,-0.05,1.15,2.47,SAPPHIRE,Quick Service Restaurant
5.,Westlife Food,696.10,893.39,10854.71,7.27,100.00,-7.74,-78.32,56.26,22.33,12.86,4.30,27.45,0.01,1.04,-3.05,WESTLIFE,Quick Service Restaurant
6.,Restaurant Brand,83.00,,4831.16,5.76,-39.30,1.05,16.42,11.27,40.45,20.37,7.12,30.19,-1.89,-0.38,18.26,RBA,Quick Service Restaurant
7.,Coffee Day Enter,30.51,16.98,644.53,9.15,-114.86,4.11,-165.89,8.21,1.18,0.63,5.77,51.11,0.01,0.46,25.66,COFFEEDAY,Quick Service Restaurant
8.,Barbeque-Nation,344.30,,1345.43,-0.60,4.38,7.59,170.97,33.73,21.49,10.46,0.31,51.64,0.18,1.24,16.71,BARBEQUE,Quick Service Restaurant
1.,I R C T C,808.10,52.40,64648.00,9.51,9.90,15.10,10.85,62.40,13.89,7.37,12.05,29.63,0.00,142.84,7.25,IRCTC,Railways
1.,I R C T C,808.10,52.40,64648.00,9.51,9.90,15.10,10.85,62.40,13.89,7.37,12.05,29.63,0.00,142.84,7.25,IRCTC,Railways
1.,I R C T C,808.10,52.40,64648.00,9.51,9.90,15.10,10.85,62.40,13.89,7.37,12.05,29.63,0.00,142.84,7.25,IRCTC,Railways
1.,I R C T C,808.10,52.40,64648.00,9.51,9.90,15.10,10.85,62.40,13.89,7.37,12.05,29.63,0.00,142.84,7.25,IRCTC,Railways
1.,I R C T C,808.10,52.40,64648.00,9.51,9.90,15.10,10.85,62.40,13.89,7.37,12.05,29.63,0.00,142.84,7.25,IRCTC,Railways
1.,C P S Shapers,795.00,,166.95,-26.50,-158.54,-29.62,-500.00,67.70,2.12,0.00,,0.50,-3.59,-0.17,50.78,CPS,Readymade Garments/ Apparells
2.,Haria Exports,9.04,80.31,10.44,,,,-50.00,31.45,0.01,0.00,,3.42,0.00,,55.33,512604,Readymade Garments/ Apparells
3.,Page Industries,46825.00,71.67,52228.04,10.64,51.58,-16.37,-19.86,42.89,27.87,23.58,8.01,6.22,0.00,19.48,14.30,PAGEIND,Readymade Garments/ Apparells
4.,Kitex Garments,275.95,44.52,5505.21,68.35,170.61,28.00,10.29,56.66,0.87,0.90,59.91,8.02,0.00,16.65,24.72,KITEX,Readymade Garments/ Apparells
5.,Spice IslandsInd,47.00,,20.22,230.00,-400.00,230.00,77.42,62.50,0.00,0.00,161.38,17.08,0.00,-20.00,36.62,526827,Readymade Garments/ Apparells
6.,Haria Apparels,5.63,14.34,8.60,,25.00,,-13.79,58.50,0.01,0.00,,17.21,0.00,6.00,17.99,538081,Readymade Garments/ Apparells
7.,K P R Mill Ltd,1149.85,48.21,39303.49,4.26,-4.24,15.68,1.14,70.68,16.47,6.25,6.24,17.60,0.00,26.45,36.14,KPRMILL,Readymade Garments/ Apparells
8.,Gokaldas Exports,1025.00,48.85,7325.31,79.08,65.48,6.33,78.76,9.38,36.82,25.79,76.01,18.79,0.00,4.51,10.93,GOKEX,Readymade Garments/ Apparells
9.,Iris Clothings,58.50,42.44,556.73,-4.56,28.37,20.43,89.03,70.94,0.00,0.00,22.82,27.05,0.00,6.62,10.42,IRISDOREME,Readymade Garments/ Apparells
10.,Thomas Scott,369.00,41.65,467.25,109.70,25.00,11.63,6.01,55.55,2.01,0.72,69.30,27.50,-2.30,9.16,-12.55,THOMASCOTT,Readymade Garments/ Apparells
11.,Veekayem Fash.,245.00,26.41,143.96,29.89,91.61,-17.83,19.76,73.11,1.06,0.00,,27.50,0.07,1.79,-5.04,VEEKAYEM,Readymade Garments/ Apparells
12.,Bella Casa Fashi,483.00,40.93,646.65,42.59,41.37,7.77,23.65,58.34,0.83,0.00,52.33,29.54,0.00,9.75,4.54,539399,Readymade Garments/ Apparells
13.,Scoobee Garments,100.79,,136.08,-8.83,-95.65,64.71,-57.14,74.99,1.48,0.00,-29.01,30.44,0.00,1.10,-17.08,531234,Readymade Garments/ Apparells
14.,Samtex Fashion,2.85,,21.22,,86.08,,-57.14,49.11,0.07,0.00,,32.78,0.00,,-0.36,521206,Readymade Garments/ Apparells
15.,Pearl Global Ind,1137.50,24.38,5225.13,45.25,43.06,-14.93,-13.28,62.81,11.56,7.39,27.16,33.79,-0.01,3.22,-20.78,PGIL,Readymade Garments/ Apparells
16.,Zodiac Cloth. Co,108.86,,282.97,25.28,-273.53,6.74,27.84,71.40,0.00,0.00,19.54,38.62,0.00,-3.96,11.68,ZODIACLOTH,Readymade Garments/ Apparells
17.,Dollar Industrie,396.75,25.58,2250.20,9.87,-10.93,42.02,58.87,72.21,1.55,1.86,8.78,39.90,0.00,7.04,-2.53,DOLLAR,Readymade Garments/ Apparells
18.,Kewal Kir.Cloth.,462.45,20.23,2849.86,6.73,-25.62,16.09,20.99,74.27,7.76,2.39,-1.75,40.00,0.01,12.44,-14.47,KKCL,Readymade Garments/ Apparells
19.,Rupa & Co,204.25,20.39,1624.29,-0.65,14.53,6.51,29.07,73.28,4.19,1.10,0.23,43.58,0.00,6.61,-3.45,RUPA,Readymade Garments/ Apparells
20.,Meyer Apparel,1.62,,13.04,-76.58,27.03,-31.58,10.00,74.32,0.36,0.00,-38.95,46.89,0.00,,23.48,531613,Readymade Garments/ Apparells
21.,Vedant Fashions,744.00,46.52,18075.01,1.18,-12.68,-28.13,-36.00,74.95,10.59,10.14,3.64,50.79,-0.01,10.89,-16.06,MANYAVAR,Readymade Garments/ Apparells
22.,Ceenik Exports,561.05,,225.54,,-1033.94,,-388.79,64.45,0.00,0.00,,56.17,-0.50,-44.78,63.12,531119,Readymade Garments/ Apparells
21.,Vedant Fashions,745.50,46.61,18111.45,1.18,-12.68,-28.13,-36.00,74.95,10.59,10.14,3.64,50.69,-0.01,10.89,-16.06,MANYAVAR,Readymade Garments/ Apparells
22.,Ceenik Exports,561.05,,225.54,,-1033.94,,-388.79,64.45,0.00,0.00,,56.17,-0.50,-44.78,63.12,531119,Readymade Garments/ Apparells
21.,Vedant Fashions,745.50,46.61,18111.45,1.18,-12.68,-28.13,-36.00,74.95,10.59,10.14,3.64,50.69,-0.01,10.89,-16.06,MANYAVAR,Readymade Garments/ Apparells
22.,Ceenik Exports,561.05,,225.54,,-1033.94,,-388.79,64.45,0.00,0.00,,56.17,-0.50,-44.78,63.12,531119,Readymade Garments/ Apparells
1.,Mindspace Busine,390.55,49.79,23791.65,13.53,-38.00,5.64,-33.70,64.45,,,8.22,2.34,0.97,2.60,8.23,MINDSPACE,REITs
2.,PropsharePlatina,1003000.00,,337.11,,,270.56,227.27,5.03,,,,4.48,,28.21,-2.06,544295,REITs
3.,Brookfield India,296.00,112.48,17989.47,16.26,3800.00,2.68,235.70,26.45,,,39.79,8.75,-5.27,1.51,2.45,BIRET,REITs
4.,Embassy Off.REIT,385.00,22.49,36493.91,11.85,-185.70,6.31,-253.53,7.69,,,8.26,10.99,0.00,0.15,6.99,EMBASSY,REITs
5.,Nexus Select,132.37,41.54,20054.06,8.30,-21.93,-2.44,-3.76,22.30,,,27.07,15.15,0.00,2.71,-0.23,NXST,REITs
1.,Mindspace Busine,390.55,49.79,23791.65,13.53,-38.00,5.64,-33.70,64.45,,,8.22,2.34,0.97,2.60,8.23,MINDSPACE,REITs
2.,PropsharePlatina,1003000.00,,337.11,,,270.56,227.27,5.03,,,,4.48,,28.21,-2.06,544295,REITs
3.,Brookfield India,296.00,112.48,17989.47,16.26,3800.00,2.68,235.70,26.45,,,39.79,8.75,-5.27,1.51,2.45,BIRET,REITs
4.,Embassy Off.REIT,385.00,22.49,36493.91,11.85,-185.70,6.31,-253.53,7.69,,,8.26,10.99,0.00,0.15,6.99,EMBASSY,REITs
5.,Nexus Select,132.37,41.54,20054.06,8.30,-21.93,-2.44,-3.76,22.30,,,27.07,15.15,0.00,2.71,-0.23,NXST,REITs
