,Unnamed: 0,SYMBOL,MARKET_CAP,INDUSTRY,SECTOR,MACRO,FNO,P/E,Mar Cap Rs.Cr.,Qtr Sales Var %,Qtr Profit Var %,QoQ Sales %,QoQ Profits %,Prom. Hold. %,DII Hold %,FII Hold %,Exp Qtr Sales Var %,RSI Rs.,MACD Signal Rs.,Change in Prom Hold %,ROCE
1093,1093,OMINFRAL,1258.0,Construction,Construction,Industrials,False,24.33,1259.12,29.77,-29.67,-2.96,-74.07,69.09,0.0,0.36,125.59,49.12,-1.39,0.0,5.23
1094,1094,HITECHGEAR,1247.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,False,26.34,1247.53,-1.53,483.27,-3.78,-79.35,56.26,0.0,0.0,-5.33,70.37,14.21,0.0,8.13
1095,1095,HIMATSEIDE,1242.0,Textiles & Apparels,Textiles,Consumer Discretionary,False,11.15,1243.06,-1.83,1316.36,-2.14,8.27,47.57,1.05,4.03,4.16,37.47,-8.07,0.0,3.77
1096,1096,TEXINFRA,1237.0,Diversified,Diversified,Diversified,False,416.94,1234.13,-3.0,840.0,-25.67,-76.81,65.17,0.01,0.0,-10.08,42.31,-4.57,0.0,0.71
1097,1097,ZOTA,1233.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,False,,1236.15,34.2,8.98,3.67,-78.18,66.15,0.0,0.0,25.28,46.38,-4.76,-0.01,-2.32
1098,1098,HARDWYN,1228.0,Consumer Durables,Consumer Durables,Consumer Discretionary,False,121.89,1242.02,0.98,25.69,-3.52,204.44,43.77,0.0,0.46,0.46,42.06,-2.29,0.0,6.83
1099,1099,MANGCHEFER,1224.0,Fertilizers & Agrochemicals,Chemicals,Commodities,False,5.61,1221.35,-45.4,-56.7,-54.58,-51.29,60.63,2.12,1.61,143.28,35.14,-5.36,0.0,13.52
1100,1100,E2E,1223.0,IT - Services,Information Technology,Information Technology,False,58.6,1223.0,41.63,154.79,10.62,-3.63,59.71,6.09,1.68,31.97,43.88,-3.15,0.0,28.63
1101,1101,SURAJEST,1220.0,Realty,Realty,Consumer Discretionary,False,37.9,1215.49,,,2.45,-2.07,74.95,4.02,7.13,,18.17,-12.94,,22.25
1102,1102,HERANBA,1220.0,Fertilizers & Agrochemicals,Chemicals,Commodities,False,26.28,1218.61,8.56,10.13,-29.37,-48.27,74.94,0.23,0.0,,21.92,-14.57,0.0,
1103,1103,KOPRAN,1216.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,False,30.24,1220.93,0.58,127.19,4.15,14.67,44.49,0.14,0.48,7.91,49.34,-2.65,0.0,8.3
1104,1104,BLISSGVS,1211.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,False,13.82,1211.27,-2.43,-1.18,-5.27,-32.47,34.97,6.6,15.35,5.09,49.64,-3.38,-0.09,11.75
1105,1105,AGARIND,1210.0,Chemicals & Petrochemicals,Chemicals,Commodities,False,12.21,1215.1,-11.58,9.6,110.5,72.58,57.2,0.14,6.24,0.68,34.9,-46.1,0.0,23.55
1106,1106,CENTRUM,1209.0,Finance,Financial Services,Financial Services,False,,1223.14,67.6,38.26,5.12,36.66,38.49,0.0,0.82,64.82,41.39,-1.21,0.0,6.0
1107,1107,GMBREW,1202.0,Beverages,Fast Moving Consumer Goods,Fast Moving Consumer Goods,False,12.02,1201.38,2.14,-12.81,3.55,1.03,74.43,0.0,0.3,5.57,64.4,-6.78,0.0,19.72
1108,1108,LINCOLN,1202.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,False,13.81,1205.39,9.48,29.75,-6.12,1.41,49.8,0.06,3.22,10.01,41.98,-17.57,-0.73,21.72
1109,1109,DOLATALGO,1202.0,Capital Markets,Financial Services,Financial Services,False,12.51,1202.96,38.27,39.95,14.32,18.5,74.49,0.0,0.01,1.23,43.98,-1.64,0.0,23.15
1110,1110,NACLIND,1195.0,Fertilizers & Agrochemicals,Chemicals,Commodities,False,,1187.05,-23.94,-196.19,-37.03,-489.71,63.79,0.96,0.5,0.63,29.08,-3.3,-0.04,15.24
1111,1111,TREL,1192.0,Transport Services,Services,Services,False,44.8,1186.71,-29.61,165.24,2.69,-91.34,69.92,1.31,7.68,,46.79,-1.67,0.0,10.9
1112,1112,HESTERBIO,1191.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,False,64.56,1189.22,-10.62,-64.43,-4.94,-0.5,53.73,0.0,0.43,23.09,51.13,-22.76,0.0,9.35
1113,1113,IMPAL,1187.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,False,15.19,1202.95,-2.13,13.05,2.58,-28.12,30.71,2.49,7.96,0.43,41.58,-25.84,0.0,6.13
1114,1114,MARINE,1186.0,Industrial Manufacturing,Capital Goods,Industrials,False,55.54,1171.92,6.8,-37.68,2.39,4.24,72.87,0.0,0.0,41.03,39.28,-3.32,-0.34,15.99
1115,1115,STERTOOLS,1182.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,False,24.38,1184.3,11.61,-2.44,10.36,8.99,65.77,5.68,0.01,20.14,41.66,-8.8,0.0,13.34
1116,1116,PUNJABCHEM,1180.0,Fertilizers & Agrochemicals,Chemicals,Commodities,False,21.62,1175.55,-17.77,-44.17,-11.57,-38.19,39.22,0.15,2.98,-11.6,38.88,-26.29,0.0,30.93
1117,1117,PAKKA,1179.0,Paper Forest & Jute Products,Forest Materials,Commodities,False,22.84,1180.13,-13.53,-26.79,-5.45,-8.27,47.79,0.05,0.07,14.36,49.51,-9.25,0.0,28.49
1118,1118,KOKUYOCMLN,1157.0,Household Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,False,27.5,1160.01,-2.7,59.14,-13.76,-41.24,74.99,0.04,0.55,14.38,34.08,-5.53,0.0,12.05
1119,1119,MUFTI,1154.0,Retailing,Consumer Services,Consumer Discretionary,False,14.9,1158.41,15.05,-19.51,-9.35,-44.26,55.4,10.42,3.56,,31.22,-16.49,0.0,28.24
