S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Qtr Sales Var %,Qtr Profit Var %,QoQ Sales %,QoQ Profits %,Prom. Hold. %,DII Hold %,FII Hold %,Exp Qtr Sales Var %,RSI Rs.,MACD Signal Rs.,Change in Prom Hold %,ROCE,SYMBOL
115.,Premier Polyfilm,186.90,21.30,391.53,-2.59,38.24,-9.34,-13.50,67.31,1.43,0.00,2.89,51.50,3.02,-0.14,19.57,PREMIERPOL
116.,Prithvi Exchange,242.90,19.90,200.38,51.72,214.81,1.74,11.26,71.95,0.00,0.00,40.33,74.94,6.54,0.00,19.53,531688
117.,Indian Toners,285.05,12.58,309.28,-6.55,-25.59,-6.83,11.90,69.25,0.03,0.00,8.55,43.69,-11.53,0.00,19.53,523586
118.,Kriti Nutrients,94.35,11.22,472.73,-24.75,83.10,24.98,45.54,66.68,0.00,0.00,-11.95,41.56,-4.04,0.02,19.50,KRITINUT
119.,Orbit Exports,152.70,12.17,412.65,-7.94,-23.00,-15.01,-47.62,66.22,0.00,0.00,0.87,32.13,-8.49,-0.02,19.48,ORBTEXP
120.,M K Proteins,10.85,,407.28,,,404.84,504.88,74.82,0.00,0.02,,26.79,-0.93,0.00,19.14,MKPL
121.,InfoBeans Tech.,380.90,51.50,925.53,-8.80,-40.53,-1.96,32.07,74.18,0.01,0.09,-5.36,30.09,-9.81,0.00,19.11,INFOBEAN
122.,RKEC Projects,101.45,16.81,243.38,19.91,7.41,159.57,1104.49,67.30,0.00,0.00,4.97,60.16,-0.85,-2.43,18.90,RKEC
123.,Vardhman Acrylic,55.15,27.43,443.21,-42.79,-45.84,-28.38,-9.39,74.97,0.00,0.13,-30.51,37.04,-2.63,0.00,18.89,VARDHACRLC
124.,Dharmaj Crop,235.55,17.84,796.10,22.11,6.18,-51.15,-74.64,70.40,0.00,4.35,11.75,51.73,-5.61,0.00,18.87,DHARMAJ
125.,Shreyas Shipping,260.10,,571.18,-37.56,-143.28,42.58,44.69,70.44,0.00,0.10,-48.93,48.34,-7.30,0.00,18.79,SHREYAS
126.,V-Marc India,92.85,15.61,211.57,,,32.07,-31.68,69.96,0.00,0.00,,34.60,-20.99,0.00,18.47,VMARCIND
127.,Virtuoso Optoel.,212.35,62.42,484.98,,,,,65.60,1.43,0.00,,38.57,-10.72,0.00,18.42,543597
128.,Pudumjee Paper,68.00,9.03,645.66,12.01,149.49,4.49,80.61,71.31,0.01,0.43,1.82,52.26,-0.84,0.00,18.38,PDMJEPAPER
129.,Birla Cable,238.05,21.02,714.15,-18.89,-54.94,-7.29,-29.43,66.36,0.01,0.00,13.81,38.30,-14.32,0.00,18.35,BIRLACABLE
130.,Zenotech Lab.,61.24,33.08,373.75,24.32,143.48,-5.12,18.73,68.84,0.01,0.00,11.85,37.31,-2.72,0.00,18.35,532039
131.,Udayshivakumar,50.70,13.45,280.66,173.36,344.85,14.65,21.73,65.94,0.00,0.49,134.47,43.04,-1.18,0.01,18.32,USK
132.,Vibhor Steel,266.05,23.94,504.50,,,,,73.48,4.26,4.74,,29.89,-41.26,,18.21,VSTL
