S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Qtr Sales Var %,Qtr Profit Var %,QoQ Sales %,QoQ Profits %,Prom. Hold. %,DII Hold %,FII Hold %,Exp Qtr Sales Var %,RSI Rs.,MACD Signal Rs.,Change in Prom Hold %,ROCE,SYMBOL
180,Gravita India,883.1,26.05,6096.74,-3.99,20.06,-9.38,4.47,66.48,0.43,10.58,13.15,51.91,-31.28,0,31.65,GRAVITA
181,Foseco India,2996.25,29.97,1914.6,15.71,30.59,-0.71,10.43,74.98,0.12,0.22,17.48,31.27,-162.15,0,31.64,FOSECOIND
182,BLS Internat.,324.3,47.03,13352.76,0,24.72,7.39,6.33,71.52,0.89,7.56,33.26,41.79,-11.03,0,31.6,BLS
183,Narayana Hrudaya,1232.5,32.64,25187.47,6.69,22.27,-7.78,-17.02,63.85,10.23,11.51,17.55,45.1,-23.61,0,31.59,NH
184,Tube Investments,3743.95,82.59,72407.74,15.2,-17.5,-2.52,141.6,45.11,14.14,28.83,11.17,58.69,-25.7,-1.01,31.58,TIINDIA
185,Linc,521.85,22.17,776.11,-3.38,-31.99,-8.29,-1.82,59.44,0.38,1.42,9.87,44.02,-24.85,0.16,31.39,LINC
186,G M D C,359.45,13.25,11430.51,-34.04,-56.1,47.43,56.63,74,0.89,1.76,-24.63,41.42,-18.81,0,31.31,GMDCLTD
187,Gujarat Gas,528.85,32.98,36405.51,6.64,-40.52,2.18,-25.39,60.89,13.98,3.34,-9.72,41.83,-4.83,0,31.22,GUJGASLTD
188,Monarch Networth,545.15,19.01,1846.4,59.5,175.23,3.04,4.16,55.86,0,0.93,61.09,42.12,-13.5,3.49,31.19,MONARCH
189,Magellanic Cloud,483.6,69.34,5652.27,-1.04,30.03,-14.73,2.27,58.64,0,0.44,53.05,32.01,-11.46,0,31.16,538891
190,Praj Industries,531.95,34.98,9777.94,-9.09,13.02,-6.09,12.91,32.81,13.09,17.37,4.06,62.84,-5.89,-0.01,30.95,PRAJIND
191,Punjab Chemicals,958.85,21.62,1175.55,-17.77,-44.17,-11.57,-38.19,39.22,0.15,2.98,-11.6,38.88,-26.29,0,30.93,PUNJABCHEM
192,Astrazeneca Phar,5130.4,80.42,12826,22.41,-46.08,-1.7,-69.83,75,2.76,2.66,26.09,38.78,-179.63,0,30.91,ASTRAZEN
193,Pyramid Technopl,148.85,18.07,547.54,6.36,-17.01,-2.74,-17.96,74.94,3.18,1.37,,37.77,-7.19,0,30.9,PYRAMID
194,Automotive Axles,1850.15,16.17,2795.58,-17.45,-22.75,-7.37,-13.17,71.04,11.96,0.63,10.67,42.24,-39.26,0,30.81,AUTOAXLES
195,Coforge,5540.1,46.57,34246.97,13.01,4.29,2.07,29.22,0,55.02,34.04,18.66,27.22,-142.27,0,30.78,COFORGE
196,Uni Abex Alloy,3079.25,15.76,608.15,-5.77,49.64,-18.63,-19.41,63.62,0.03,0,18.39,50.47,-66.71,0,30.77,504605
197,Bajaj Steel Inds,1168.55,11.93,607.65,-21.87,-52.53,-17.85,-40.92,47.78,0,0.07,12.55,45.56,-25.15,0.09,30.73,507944
198,IKIO Lighting,295.25,35.15,2281.71,1.63,6.22,-0.87,3.95,72.46,7.1,1.51,,49.21,-4.72,0,30.59,IKIO
199,Hind.Aeronautics,3170.8,34.51,212055.18,6.97,8.62,7.54,1.47,71.64,9.13,12.93,8.14,53.83,38.05,0,30.58,HAL
200,Vishnusurya,228,34.09,561.1,,,,,62.24,3.34,0.36,,37.63,-23.35,,30.52,VISHNUINFR
201,A B B,5967.4,101.31,126454.2,13.62,12.84,-0.42,-6.67,75,6.92,10.72,22.25,70.61,230.94,0,30.49,ABB
202,J.G.Chemicals,186.55,13.47,731.02,,,,,70.99,5.4,7.1,,,1.2,,30.36,JGCHEM
203,Vinati Organics,1585.7,46.82,16298.15,-13.27,-27.99,-3.23,6.25,74.06,7.55,4.71,-10.3,40.33,-19.66,0,30.35,VINATIORGA
204,F A C T,657,97.5,42512.63,-36.27,-81.71,-34.02,-71.19,90,8.59,0.11,-19.38,41.49,-36.05,0,30.34,FACT
205,C D S L,1787.35,52.92,18677.81,51.91,43.92,3.46,-1.37,15,21.33,18.16,27.57,48.89,-32.01,0,30.32,CDSL
206,Persistent Sys,7971.4,59.63,61399.71,15.16,10.13,3.59,8.68,31.06,26.13,24.55,23.22,40.85,-37.69,0,30.3,PERSISTENT
207,Butterfly Gan Ap,800.7,49.85,1431.65,-4.22,-118.4,-22.74,-114.8,75,6.47,0,-9.77,34.56,-36.04,0,30.26,BUTTERFLY
208,AGI Infra,909.1,19.81,1110.62,19.62,22.09,2.65,2.97,72.94,0,0,22.59,41.69,-14.05,0,30.25,539042
209,Sumitomo Chemi.,366.15,54.9,18276.22,-28.23,-39.36,-40.18,-61.76,75,6.02,2.61,-18.89,52.57,-10.17,0,30.24,SUMICHEM
210,NMDC,203.7,10.36,59696.44,45.43,82.98,34.78,44.42,60.79,17.33,9.91,15.43,37.68,-4.78,0,30.22,NMDC
211,KPIT Technologi.,1385.7,70.35,37988.11,37.06,50.39,4.82,10.86,39.47,11.6,26.48,53.1,34.36,-43.54,0,30.18,KPITTECH
212,Megatherm,270,36.31,508.7,,,,,72.71,,,,45.25,4.23,-26.21,30.13,MEGATHERM
213,Vishnu Chemicals,302.35,18.18,1981.21,-6.66,-34.59,-1.42,-13.46,68.36,7.09,0.33,-9.54,55.76,-8.25,0,30.12,VISHNU
214,Styrenix Perfor.,1434.45,15.18,2523.2,-13.01,15.7,-18.54,-38.07,62.73,5.01,2.53,-4.98,53.51,-38.21,0,29.95,STYRENIX
215,Bharat Electron,197.5,40.45,144368.13,0.22,40.22,3.82,8.93,51.14,23.37,17.77,3.52,51.61,1.63,0,29.92,BEL
216,Glenmark Life,753.7,17.78,9234.87,5.93,13.13,-3.79,0.03,82.85,0.74,4.57,15.58,43.82,-24.23,0,29.88,GLS
217,Rites,654.75,34.11,15733.77,0.82,-14.24,17.26,16.89,72.2,12.27,3.22,-7.52,44.53,-12.75,0,29.71,RITES
218,Deepak Nitrite,2161.15,37.27,29476.58,0.91,-3.35,13,-1.48,49.13,18.87,6.48,-4.04,46.76,-39.73,0,29.7,DEEPAKNTR
219,DE Nora India,1474.4,30.5,782.91,53.2,34.72,54.09,2.05,53.68,0.22,0.19,13.49,44.59,-21.49,0,29.67,DENORA
220,Gujarat Fluoroch,3122.55,51.51,34301.21,-30.06,-75.69,4.75,51.86,63.81,8.59,4.58,-4.32,35.75,-80.19,0,29.62,FLUOROCHEM
221,S P I C,72.8,9.11,1482.5,-27.51,-62.88,-31.9,-36.77,53.38,1.68,0.5,30.93,34.91,-3.91,0,29.58,SPIC
222,Kilburn Engg.,310.05,29.29,1164.87,35.27,37.47,6.31,2.79,54.57,0,0.03,29.87,59.8,-0.85,0.67,29.43,522101
223,U P Hotels,1346,26.55,726.84,12.87,31.41,91.31,1875,88.39,0,0,31.5,46.51,20.54,0,29.4,509960
224,Kothari Petroche,123.1,11.73,724.4,-11.93,6.9,-22.67,-22.28,70.98,0.09,0,36.59,42.91,-5.4,0,29.34,KOTHARIPET
225,KFin Technolog.,607.35,45.4,10378.01,16.26,25.2,4.67,8.88,39.05,24.64,12.13,10.75,46.65,-5.19,-10.07,29.34,KFINTECH
226,Accent Microcell,252.8,40.89,531.97,,,,,53.67,,,,42.49,-8.32,,29.26,ACCENTMIC
227,WPIL,3204.5,19.18,3129.86,-5.38,-54.03,35.12,1145.53,70.8,2.68,5.85,11.02,45.31,-122.48,0,29.21,505872
228,Lloyds Engineeri,47.9,84.18,5482.78,244.87,111.89,65.41,44.12,57.36,0.12,1.17,408.73,45.49,-0.95,-2.43,29.2,LLOYDSENGG
229,Prakash Pipes,371.55,10.57,888.69,-7.96,72.3,-7.4,2.07,44.27,0.02,0.26,-9.27,42.2,-18.59,0,29,PPL
230,C.E. Info System,1846.85,78.43,9986.28,28.44,8.31,-4.31,-5.16,52.91,4.29,5.98,21.8,57.15,-38.85,-0.02,28.96,MAPMYINDIA
231,Mphasis,2389.4,28.81,45144.12,-4.8,-9.38,1.88,-4.68,55.52,23.71,15.72,-3.42,38.18,-47.26,-0.05,28.9,MPHASIS
232,Wendt India,11061.9,54.82,2212.38,6.59,-4.67,6.86,7.26,75,6.82,0.02,9.17,34.19,-513.3,0,28.82,WENDT
233,Varun Beverages,1402.4,86,182226.52,20.48,76.55,-31.08,-72.03,63.09,3.58,26.58,22.46,49.25,13.37,0,28.82,VBL
234,Triveni Turbine,502.35,64.26,15968.55,32.51,29.71,11.33,6.67,55.84,12.49,27.28,41.17,61.61,11.48,0,28.7,TRITURBINE
235,Indo Borax & Ch.,164.1,13.1,526.6,-20.41,-39.93,-5.85,-7.84,52.07,0,0.03,-4.62,44.49,-8.22,0,28.69,INDOBORAX
236,Advait Infratech,1360.3,,1387.51,186.04,134.24,51.13,55.22,73.53,0,0,,56.9,17.31,0,28.68,543230
237,E2E Networks,844.9,58.6,1223,41.63,154.79,10.62,-3.63,59.71,6.09,1.68,31.97,43.88,-3.15,0,28.63,E2E
238,Pakka,301.3,22.84,1180.13,-13.53,-26.79,-5.45,-8.27,47.79,0.05,0.07,14.36,49.51,-9.25,0,28.49,PAKKA
239,JK Paper,328.15,4.94,5558.94,3.84,-28.61,3.4,-22.68,49.63,3.37,10.75,10.95,24.69,-12.66,0,28.46,JKPAPER
240,Raghav Product.,623.7,55.46,1431.55,-19.31,-2.76,-8.17,0.64,62.92,0,0,-8.72,51.04,-16.86,0,28.46,539837
241,Saksoft,256.5,27.76,2719.18,12.33,13.49,1.28,-10.84,66.64,0.03,3.93,20.68,46.98,-11.47,-0.02,28.41,SAKSOFT
242,XPRO India,1115.25,68.8,2457.41,3.31,65.07,-12.58,12.66,42.46,3.32,14.98,-12.19,47.4,-17.53,-2.8,28.35,XPROINDIA
243,HCL Technologies,1557.85,26.94,422748.32,6.54,6.2,6.65,13.51,60.81,15.12,19.42,11.02,36.75,4.71,0,28.26,HCLTECH
244,Allcargo Termi,57.65,29.47,1416.43,5.73,14.18,-0.12,22.33,69.92,0.75,7.61,,45.24,-2.76,0,28.26,ATL
245,Credo Brands,179.65,14.9,1158.41,15.05,-19.51,-9.35,-44.26,55.4,10.42,3.56,,31.22,-16.49,0,28.24,MUFTI
246,Gokul Agro,111,12.66,1637.73,21.98,-8.55,-18.78,-0.33,72.57,0,0.05,18.05,51.16,-2.96,0,28.21,GOKULAGRO
247,CMS Info Systems,384.65,19.55,6260.65,19.47,44.4,7.47,35.43,0,30.74,35.21,15.91,49.55,2.39,-26.69,28.17,CMSINFO
248,Chemfab Alka.,660,23.92,938.96,2.85,-47.96,8.48,52.52,72.88,0.07,0.29,-6.74,63.89,42.81,-0.11,28.16,CHEMFAB
249,Tata Technolog.,1032,67.09,41864.99,14.73,14.72,1.6,6.14,55.39,2.5,2.02,,37.65,-19.87,,28.14,TATATECH
250,I T D C,627.65,78.17,5383.32,14.31,-20.26,2.98,-6,87.03,1.86,0,40.1,43.62,-18.27,0,28.05,ITDC
251,Emami,424.25,25.92,18684.31,1.38,13.29,15.2,44.81,54.84,23.94,12.86,5.54,29.28,-13.68,-0.01,28.02,EMAMILTD
252,Apcotex Industri,426.35,35.78,2210.41,9.77,-45.36,-7.96,-27.3,58.23,0.44,0.51,-2.3,39.53,-13.52,0,28,APCOTEXIND
253,Timken India,2894.1,61.28,21769.05,0.45,-4.29,-10.23,-27.43,57.7,22.57,7.13,6.07,59.55,-70.25,0,27.99,TIMKEN
254,Dhunseri Vent.,326.95,5.91,1144.98,57.26,-85.65,32.39,-83.93,75,1.73,0.55,11.6,35.51,-19.06,0,27.98,DVL
255,Siyaram Silk,448.35,9.97,2034.17,0.15,-14.85,-14.24,-27.9,67.44,3.44,1.75,-0.51,34.44,-15.5,0.26,27.92,SIYSIL
256,Alkyl Amines,1945.55,62.52,9945.84,-17.07,-26.85,-8.55,22.72,71.96,1.07,2.94,-11.51,31.53,-68.63,0,27.87,ALKYLAMINE
257,V I P Inds.,462.45,66.58,6564.13,3.8,-83.79,0.06,-46.16,51.76,12.84,7.49,10.23,26.88,-20,0.54,27.85,VIPIND
258,India Pesticides,217.5,27.74,2504.81,-30.77,-30.32,-25.39,23.1,63.61,1.59,1.63,-10.37,19.29,-34.37,0,27.8,IPL
259,Elantas Beck,8716.9,50.35,6912.5,5.59,49.37,6.47,6.23,75,11.8,0.71,5.52,58.63,0.4,0,27.69,500123
260,Madras Fertilize,82.5,63.62,1329.08,-41.7,-90.95,44.33,-1642.99,85.27,0.04,0,-28.96,32.84,-5.03,0,27.66,MADRASFERT
261,Schneider Elect.,650.2,71.44,15546.28,29.51,109.03,50.03,112.25,75,2.26,1.85,26.01,59.48,25.66,0,27.64,SCHNEIDER
262,Grindwell Norton,1980.7,56.29,21930.31,9.28,15.48,-1.12,-9.99,58.03,15.45,8.42,9.53,41.14,-70.5,0,27.6,GRINDWELL
263,Jamna Auto Inds.,128.45,25.23,5124.4,2.2,33.61,-0.55,9.64,49.95,10.76,5.7,4.56,56.95,1.49,-0.01,27.54,JAMNAAUTO
264,Godawari Power,682.15,10.5,9273.49,-10.53,79.06,1.38,-10.73,63.26,2.09,5.41,-10.22,36.47,-17.52,0,27.49,GPIL
265,Happiest Minds,777.6,48.89,11840.89,7.49,37.89,0.15,46.4,50.24,2.41,5.05,12.96,34.33,-16.13,-1.11,27.37,HAPPSTMNDS
266,EID Parry,564.6,11.68,10022.64,-21.62,-52.88,-14.23,-72.31,42.23,4.92,8.71,-7.05,41.37,-9.76,-2.28,27.36,EIDPARRY
267,Eicher Motors,3988.4,28.47,109204.64,12.3,34.44,1.56,-2,49.15,9.73,30.27,16.34,61.87,-15.8,-0.01,27.35,EICHERMOT
268,Lancer Containe.,64.75,27.74,1479.84,-15.05,3.16,-9.48,-1.13,44.68,0.22,23.31,-21.09,17.5,-6.83,-7.88,27.32,539841
269,Ugar Sugar Works,69.8,11.47,785.25,-8.69,-146.29,24.46,-263.24,44.34,0,2.57,55.01,34.02,-3.11,0,27.28,UGARSUGAR
270,Jubilant Inds.,1219.35,29.01,1837.21,-15.92,255.56,-6.15,-368.14,74.78,0.02,0.14,-9.41,53.92,99.13,0,27.26,JUBLINDS
271,Ratnamani Metals,2864.25,32.27,20076.1,14.43,-0.4,11.14,-19.19,59.77,16.28,12.77,30,48.01,-118.29,0,27.26,RATNAMANI
272,Krystal Integrat,710.75,25.83,993.06,,,,,69.96,4.7,9.94,,,-0.03,,27.2,KRYSTAL
273,Greenpanel Inds.,319.8,21.57,3921.62,-8.19,-7.78,-3.26,-15.59,53.13,24.53,3.22,-10.81,33.86,-14.73,0,27.17,GREENPANEL
274,Nucleus Soft.,1219.5,15.76,3265.01,20.55,7.75,-0.55,-7.36,73.27,1.65,5.02,43.45,37.21,-67.27,0,27.11,NUCLEUS
275,Oriana Power Ltd,783.05,135.57,1502.09,,,,,61.41,3.95,2.75,,54.49,-6.95,-21.98,27.08,ORIANA
276,Geekay Wires,96.5,12.27,504.31,2.57,26.6,-2.88,6.08,59.27,0,0,12.13,49.71,-4.27,0,27.07,GEEKAYWIRE
277,Century Plyboard,638.1,39.27,14176.86,6.07,-23.81,-5.96,-35.48,73.04,14.75,5.45,5.93,34.06,-23.15,0,27.05,CENTURYPLY
278,Rajratan Global,618.5,43.69,3140.19,16.37,-10.55,8.56,1.03,65.1,8.69,0.73,-4.04,47.07,-17.41,0,27.04,RAJRATAN
279,Dhanuka Agritech,958.5,17.8,4368.68,2.51,-1.52,-34.74,-55.42,70.18,18.41,1.34,7.66,35.72,-33.07,0,27.01,DHANUKA
280,Polycab India,4909.9,44.36,73759.87,16.83,15.43,2.91,-3.09,65.79,7.61,13.41,23.1,56.5,57.46,-0.12,26.97,POLYCAB
281,APL Apollo Tubes,1518.85,55.19,42151.82,-3.45,-2.17,-9.78,-18.42,29.57,13.75,29.25,13.03,51.3,15.84,-0.1,26.9,APLAPOLLO
282,Balu Forge,198.8,25.29,2039.53,64.54,122.27,5.65,9.37,56.07,1.95,8.77,87.57,43.71,-15.8,-1.4,26.9,531112
283,Cummins India,2930.8,57.26,81241.78,16.21,26.67,33.39,38.48,51,23.36,16.51,18.7,72.9,81.69,0,26.82,CUMMINSIND
284,Supreme Inds.,3930.3,46.47,49925.37,5.99,21.97,6.08,5.34,48.85,11.95,24.65,6.26,48.2,-50.65,0,26.79,SUPREMEIND
285,Mahanagar Gas,1339.5,10.23,13231.28,-6.14,84.33,-0.14,-6.3,32.5,17.23,30.85,12.34,46.78,-35.18,0,26.79,MGL
286,Schaeffler India,2944.5,50.44,46023.62,3.37,-4.4,0.37,-7.5,74.13,15.68,4.36,5.25,52.73,-39.02,0,26.77,SCHAEFFLER
287,Ador Welding,1380.05,28.19,1876.87,11.59,-17.02,-1.96,-30.03,56.9,4.43,0.3,17.89,43.06,-28.3,0,26.76,ADORWELD
288,Prec. Wires (I),119.75,33.52,2139.43,14.38,19.22,-2.97,10.4,57.93,0,0.02,8.35,39.84,-4.36,0,26.75,PRECWIRE
289,Dr Reddy's Labs,6203.2,19.79,103480.71,6.58,11.01,4.84,-6.83,26.65,18.65,28.62,14.84,47.56,28.3,-0.01,26.73,DRREDDY
290,Jupiter Life Lin,1163.1,55.02,7625.98,15.09,486.57,1.46,16.91,40.91,13.92,3.96,,41.71,-16.83,0,26.71,JLHL
291,Indraprastha Gas,412.75,17.05,28892.53,-4.17,40.9,2.82,-26.69,45,22.74,17.91,13.82,43.73,-4.96,0,26.67,IGL
292,KMC Speciality,84.65,45.18,1380.64,22.74,50.4,16.07,38.14,75,0,0,18.18,43.83,-3.18,0,26.67,524520
293,Nippon Life Ind.,448.65,29.37,28264.89,19.65,38.56,6.5,16.31,73.1,14.18,5.54,14.15,38.86,-9.48,-0.37,26.64,NAM-INDIA
294,Fiem Industries,1100.65,18.39,2896.87,10.22,26.88,-4.34,-6.85,66.56,1.42,1.86,1,48.77,-33.36,0,26.61,FIEMIND
295,Sealmatic India,662.35,49.38,599.43,,,12.46,18.74,72.38,3.35,0,,44.5,-14.89,0,26.61,543782
296,Yatharth Hospit.,406.7,37.36,3491.53,21.26,38.78,-2.62,6.85,66.45,8.81,2.59,,45.65,-6.37,0.12,26.58,YATHARTH
297,Petronet LNG,259.35,11.4,38902.5,-6.52,0.86,17.68,45.54,50,10.95,26.82,-4.6,38.66,0.16,0,26.55,PETRONET
298,Guj.St.Petronet,353.15,12.79,19925.12,9.78,9.9,2.9,-15.96,37.63,24.77,16.03,-7.59,49.58,-2.62,0,26.55,GSPL
299,Hind. Unilever,2256.55,51.41,530197.02,-0.19,-0.77,-0.36,-5.61,61.9,12.31,13.65,4.83,29.06,-33.45,0,26.55,HINDUNILVR
300,Sr.Rayala.Hypo,493.15,6.28,846.48,-28.7,-11.72,-4.87,-10.11,61.84,0.04,0.65,-22.76,37.02,-17.16,-0.25,26.44,SRHHYPOLTD
301,NBCC,115.05,51.02,20709,20.92,36.62,18.28,9.85,61.75,10.41,4.46,15.45,42.35,-3.43,0,26.4,NBCC
302,Cupid,2107.1,115.49,2827.25,-4.96,-11.67,11.88,73.05,45.06,0,0.45,5.95,46.27,39.97,0,26.4,CUPID
303,Blue Dart Expres,5812.15,47.13,13792.23,3.43,0.26,4.41,21.67,75,11.76,5.29,0.89,43.76,-189.35,0,26.34,BLUEDART
304,Caplin Point Lab,1268.7,22.06,9634.73,17.05,20.34,6.2,3.17,70.62,0.43,2.84,15.08,30.95,-43.34,-0.01,26.32,CAPLIPOINT
305,Axtel Industries,675.05,28.77,1090.53,33.24,333.48,-22.57,-19.63,49.95,0,0,44.22,62.87,-7.38,0,26.2,523850
306,Chamanlal Setia,210.55,8.37,1089.25,13.05,3.28,29.61,47.5,73.86,0.28,1.88,4.65,39.9,-7.32,-0.03,26.18,CLSEL
307,Bajaj Auto,8945.25,34.22,253311.37,30.55,38.02,12.24,0.62,54.94,8.66,14.64,19.96,68.07,199.38,-0.04,26.18,BAJAJ-AUTO
308,Action Const.Eq.,1393.2,59.92,16590.67,35.37,89.8,11.86,19.34,66.76,2.61,8.81,31.22,60.13,55.16,0,26.17,ACE
309,Kewal Kir.Cloth.,698.5,29.07,4304.52,0.56,23.57,-23.73,-33.06,74.26,8.62,2.53,12.58,42.96,-15.71,0,26.17,KKCL
310,Concord Biotech,1493.1,51.89,15620.25,0.05,-5.73,-8.21,-11.76,44.08,8.4,7,,55.88,0.54,0,26.17,CONCORDBIO
311,Happy Forgings,887.75,40.08,8363.04,,,,,78.6,5.83,2.06,,46.68,-29.74,,26.17,HAPPYFORGE
312,Pfizer,4348.9,39.17,19895.23,-13.15,-17.62,-6.13,-12.74,63.92,15.15,3.03,-7.14,44.7,-22.67,0,26.15,PFIZER
313,Peninsula Land,48.5,16.16,1497.2,-42.68,206.18,10.12,181.31,65.3,0.62,0.01,-21.9,38.13,-2.83,1.79,26.11,PENINLAND
314,Innovana Think.,569.75,27.57,1167.99,7.55,5.41,1.26,1.89,73.23,0,0.13,,53.04,-15,0.04,26.09,INNOVANA
315,Kamat Hotels,255,11.01,628.65,2.71,-42.24,34.5,138466.67,63.34,0,0.19,21.66,34.96,-10.65,1.87,26.07,KAMATHOTEL
316,R Systems Intl.,451.55,38.13,5341.99,4.21,10.85,-8.97,4.3,51.93,0.78,0.25,11.38,44.71,-9.97,0,26.03,RSYSTEMS
317,Vesuvius India,3431.75,32.72,6966.45,19.64,106.48,0.82,-5.33,55.57,23.26,1.73,19.45,56.96,-65.48,0,25.93,VESUVIUS
318,Medi Assist Ser.,480.05,47.2,3305.59,32.29,-3.84,,,39.67,21.24,7.66,,49.37,-7.12,,25.87,MEDIASSIST
319,Banco Products,584.05,16.43,4177.05,12.09,-30.45,-21.24,3.34,67.88,0.08,2.35,19.35,40.86,-21.45,0,25.83,BANCOINDIA
320,KEI Industries,3422.95,56.12,30889.19,15.55,17.15,5.91,7.46,37.08,16.05,30.95,14.91,58.34,17.98,0,25.82,KEI
321,Technvision Ven.,1489.7,122.13,935.53,59.89,325.76,19.5,249.22,74.32,0,0,31.86,98.97,130.46,0,25.81,501421
322,Roto Pumps,358.95,30.08,1127.38,-1,-32.18,-30.46,-50.55,67.26,0,2.69,33.36,43.27,-14.32,0,25.8,ROTO
323,Cera Sanitary.,6841.15,38.35,8897.51,-4.17,-9.74,-5.26,-10.56,54.48,8.38,20.63,9.62,34.74,-210.56,0,25.78,CERA
324,BF Utilities,759.8,20.73,2861.41,48.22,16.61,12.42,-12.71,56.74,0.09,0.78,37.51,49.19,4.13,0,25.72,BFUTILITIE
325,Jagsonpal Pharma,286.95,30.83,755.76,-21.43,-49.17,-18.3,-46.99,68.48,0.82,0.53,-3.89,37.01,-11.19,-0.23,25.64,JAGSNPHARM
326,Maithan Alloys,1002.6,9.57,2918.72,-34.61,17.22,0.99,37.56,74.99,0.15,1.87,-40.6,42.4,-26.84,0,25.6,MAITHANALL
327,Vadilal Inds.,4294.15,20.99,3087.49,21.54,199.46,-39.64,-75.72,64.73,0,0.09,11.85,75.01,78.78,0,25.56,VADILALIND
328,Wealth First Por,617,22.02,657.41,77.07,148.4,10.47,-1.17,74.01,0,0,70.7,68.2,24.34,0,25.54,WEALTH
329,Sun TV Network,586.35,12.22,23107.15,4.09,6.79,-11.95,-2.28,75,6.59,9.01,10.78,40.24,-12.44,0,25.49,SUNTV
330,GPT Healthcare,173.65,36.86,1424.88,3.87,37.37,-10.55,-15.04,65.57,7.79,7.14,,46.32,-9.17,-1.77,25.47,GPTHEALTH
331,Master Trust,685.5,17.17,1491.18,41.99,47.95,2.79,18.9,74.83,0,0,31.63,54.52,19.47,0,25.46,511768
332,Deepak Fertiliz.,484.2,12.67,6112.44,-32.75,-76.92,-23.58,-4.6,45.46,3.5,13.16,-3.52,39.44,-17.91,0,25.42,DEEPAKFERT
333,H.G. Infra Engg.,898.65,11.53,5856.6,15.15,-30.8,42.95,6.17,74.53,12.45,1.56,26.43,47.95,-2.83,0,25.36,HGINFRA
334,Oil India,581.75,9.06,63085.27,3.36,2.79,28.25,307.22,56.66,15.98,10.99,-12.41,54.84,20.67,0,25.35,OIL
335,Sirca Paints,299.05,33.86,1639.06,11.15,-0.19,-13.29,-32.24,67.55,0.8,5.93,17.51,23.59,-17.35,0,25.33,SIRCA
336,Cantabil Retail,224.4,30.16,1831.96,7.47,-10.58,29.12,221.33,73.18,0,4.46,16.71,51.28,-9.57,-1.79,25.29,CANTABIL
337,3M India,30728.4,69.5,34630.91,1.02,10.46,-3.45,-6.9,75,8.52,3.56,8.19,49.64,-557.96,0,25.29,3MINDIA
338,Aditya Vision,3480.7,58.71,4461.88,30.02,13.58,31.98,130.22,55.62,7.44,7.21,32.19,52.32,-55.5,-5.57,25.24,540205
339,Goodyear India,1138.65,19.8,2626.87,-14.18,-10.45,-14.3,-42.38,74,8.06,0.73,-6.81,23.74,-36.78,0,25.13,500168
340,Titan Company,3706.7,95.36,329075.7,22.01,16.48,13.05,14.96,52.9,10.25,18.89,29.05,54.19,-2.62,0,25.08,TITAN
341,Volt.Transform.,9019.25,31.42,9124.88,14.27,86.39,7.1,38.24,38,28.69,23.23,16.54,62.47,172.43,0,25.07,VOLTAMP
342,AIA Engineering,3796.45,31.34,35808.26,-4.7,-20.67,-9.7,-13.64,58.47,20.46,18.29,6.14,55.91,-50.76,0,25.07,AIAENG
343,AVT Natural Prod,83.3,22.47,1268.66,11.09,67.74,14.03,93.69,75,0.02,0.02,-5.83,36.44,-2.92,0,25.03,AVTNPL
344,Aurionpro Sol.,1982.7,38.63,4920.1,36.97,50.14,9.28,11.38,30.18,0.86,6.22,37.14,45.76,-67.14,-0.62,24.92,AURIONPRO
345,Redington,205.4,13.35,16057.65,8.45,-10.25,5.78,11.63,0,17.92,56.99,19.1,52.8,2.55,0,24.92,REDINGTON
346,Allsec Tech.,742.9,20.44,1132.18,19.68,55.96,6.61,-30.67,73.39,1.12,0.09,21.76,46.87,-7.5,0,24.91,ALLSEC
347,Elecon Engg.Co,920.25,32.28,10325.2,21.79,44.09,-2.34,2.07,59.29,2.64,5.96,25.15,48.63,-35.96,0,24.9,ELECON
348,PSP Projects,655.85,15.24,2361.06,40.06,-7.88,14.74,-17.48,66.22,5.01,3.3,46.19,47.53,-27.25,0,24.75,PSPPROJECT
349,Kingfa Science,1842,17.76,2230.75,15.7,20.27,12.25,-17.8,74.99,0,6.36,8.82,48.74,-82.11,0,24.72,KINGFA
350,Shriram Pistons,1940.7,20.71,8548.75,20.4,43.41,1.88,-4.63,46.75,13.07,1.07,17.64,67.33,7.73,0,24.72,SHRIPISTON
351,Ahluwalia Contr.,1024.8,27.7,6864.89,38.11,57.02,13.86,27.78,55.32,26.4,12.66,32.19,43.94,20.05,0,24.7,AHLUCONT
352,Shree Ganesh Rem,678.5,37.08,814.66,27.19,10.34,-16.31,-26.72,69.33,0,0,45.12,49.01,-0.9,0,24.66,540737
353,KPI Green Energy,1536.1,61.41,9260.01,84.21,46.87,53.49,45.64,53.08,1.53,4.87,78.29,49.19,46.58,-1.75,24.66,KPIGREEN
354,DCW,51.25,41.12,1512.67,-31.33,-124.22,-3.94,-563.16,45.1,0.01,7.87,-31.58,39.91,-2.62,0,24.58,DCW
355,Semac Consul,2752.35,,844.97,-73.3,-2058.11,20.29,-337.76,72.61,0,0.04,5.04,47.32,5.5,0,24.58,SEMAC
356,Royal Orch.Hotel,357.25,22,979.77,12.99,6.15,22.99,105.08,63.6,0.21,4.79,31.27,44.28,-7.64,0,24.52,ROHLTD
357,K P R Mill Ltd,794,33.87,27140.03,-13.28,7.15,-17.84,-7.32,73.76,15.12,4.32,14.16,56,5.81,0,24.44,KPRMILL
