Date,Year,Adj Close,Volume,Symbol,Outstanding_Shares
2020-06-17,2020,1185.6,209638,MCX.NS,50.998
2020-06-18,2020,1191.5,83950,MCX.NS,50.998
2020-06-19,2020,1197.9,189657,MCX.NS,50.998
2020-06-22,2020,1177.2,118537,MCX.NS,50.998
2020-06-23,2020,1163.6,178658,MCX.NS,50.998
2020-06-24,2020,1152.2,126771,MCX.NS,50.998
2020-06-25,2020,1155.5,127282,MCX.NS,50.998
2020-06-26,2020,1165.7,348691,MCX.NS,50.998
2020-06-29,2020,1182.9,197142,MCX.NS,50.998
2020-06-30,2020,1207.2,387251,MCX.NS,50.998
2020-07-01,2020,1200.3,191324,MCX.NS,50.998
2020-07-02,2020,1201.6,210837,MCX.NS,50.998
2020-07-03,2020,1209.5,370790,MCX.NS,50.998
2020-07-06,2020,1202.8,258354,MCX.NS,50.998
2020-07-07,2020,1221.8,207313,MCX.NS,50.998
2020-07-08,2020,1219.8,343517,MCX.NS,50.998
2020-07-09,2020,1224.8,303076,MCX.NS,50.998
2020-07-10,2020,1245.4,471789,MCX.NS,50.998
2020-07-13,2020,1240.1,121325,MCX.NS,50.998
2020-07-14,2020,1214.2,143755,MCX.NS,50.998
2020-07-15,2020,1211.6,60062,MCX.NS,50.998
2020-07-16,2020,1231.3,87005,MCX.NS,50.998
2020-07-17,2020,1264.7,174949,MCX.NS,50.998
2020-07-20,2020,1354.7,611077,MCX.NS,50.998
2020-07-21,2020,1410.5,796019,MCX.NS,50.998
2020-07-22,2020,1415.1,411992,MCX.NS,50.998
2020-07-23,2020,1368.4,246391,MCX.NS,50.998
2020-07-24,2020,1414.7,432489,MCX.NS,50.998
2020-07-27,2020,1468.0,1671096,MCX.NS,50.998
2020-07-28,2020,1597.0,1353543,MCX.NS,50.998
2020-07-29,2020,1564.5,2008867,MCX.NS,50.998
2020-07-30,2020,1544.8,531543,MCX.NS,50.998
2020-07-31,2020,1585.6,547342,MCX.NS,50.998
2020-08-03,2020,1559.7,444584,MCX.NS,50.998
2020-08-04,2020,1691.5,1279986,MCX.NS,50.998
2020-08-05,2020,1644.9,836968,MCX.NS,50.998
2020-08-06,2020,1588.7,533493,MCX.NS,50.998
2020-08-07,2020,1571.7,417984,MCX.NS,50.998
2020-08-10,2020,1592.8,359012,MCX.NS,50.998
2020-08-11,2020,1610.6,373432,MCX.NS,50.998
2020-08-12,2020,1610.0,285915,MCX.NS,50.998
2020-08-13,2020,1584.4,219494,MCX.NS,50.998
2020-08-14,2020,1558.7,275197,MCX.NS,50.998
2020-08-17,2020,1496.1,529365,MCX.NS,50.998
2020-08-18,2020,1542.8,309610,MCX.NS,50.998
2020-08-19,2020,1603.7,495404,MCX.NS,50.998
2020-08-20,2020,1600.9,214636,MCX.NS,50.998
2020-08-21,2020,1638.8,266912,MCX.NS,50.998
2020-08-24,2020,1634.8,162850,MCX.NS,50.998
2020-08-25,2020,1622.0,225755,MCX.NS,50.998
2020-08-26,2020,1626.4,142957,MCX.NS,50.998
2020-08-27,2020,1604.0,160309,MCX.NS,50.998
2020-08-28,2020,1620.4,245602,MCX.NS,50.998
2020-08-31,2020,1529.8,431439,MCX.NS,50.998
2020-09-01,2020,1484.2,321062,MCX.NS,50.998
2020-09-02,2020,1487.3,616113,MCX.NS,50.998
2020-09-03,2020,1507.4,699310,MCX.NS,50.998
2020-09-04,2020,1537.6,392236,MCX.NS,50.998
2020-09-07,2020,1513.9,171375,MCX.NS,50.998
2020-09-08,2020,1482.1,240460,MCX.NS,50.998
2020-09-09,2020,1462.3,305439,MCX.NS,50.998
2020-09-10,2020,1469.9,245634,MCX.NS,50.998
2020-09-11,2020,1488.1,127619,MCX.NS,50.998
2020-09-14,2020,1674.1,2177773,MCX.NS,50.998
2020-09-15,2020,1628.1,415291,MCX.NS,50.998
2020-09-16,2020,1613.6,272094,MCX.NS,50.998
2020-09-17,2020,1684.8,603583,MCX.NS,50.998
2020-09-18,2020,1668.7,261517,MCX.NS,50.998
2020-09-21,2020,1556.8,295106,MCX.NS,50.998
2020-09-22,2020,1547.8,355741,MCX.NS,50.998
2020-09-23,2020,1527.5,231594,MCX.NS,50.998
2020-09-24,2020,1561.6,286931,MCX.NS,50.998
2020-09-25,2020,1566.5,290558,MCX.NS,50.998
2020-09-28,2020,1709.9,1116448,MCX.NS,50.998
2020-09-29,2020,1711.7,448892,MCX.NS,50.998
2020-09-30,2020,1648.9,256698,MCX.NS,50.998
2020-10-01,2020,1667.6,240405,MCX.NS,50.998
2020-10-05,2020,1678.1,314535,MCX.NS,50.998
2020-10-06,2020,1668.9,125785,MCX.NS,50.998
2020-10-07,2020,1657.9,99635,MCX.NS,50.998
2020-10-08,2020,1633.9,160890,MCX.NS,50.998
2020-10-09,2020,1642.9,119723,MCX.NS,50.998
2020-10-12,2020,1666.9,139881,MCX.NS,50.998
2020-10-13,2020,1675.5,223441,MCX.NS,50.998
2020-10-14,2020,1688.8,199876,MCX.NS,50.998
2020-10-15,2020,1649.9,127964,MCX.NS,50.998
2020-10-16,2020,1666.5,95054,MCX.NS,50.998
2020-10-19,2020,1686.1,316580,MCX.NS,50.998
2020-10-20,2020,1710.5,85669,MCX.NS,50.998
2020-10-21,2020,1690.5,642785,MCX.NS,50.998
2020-10-22,2020,1726.1,208986,MCX.NS,50.998
2020-10-23,2020,1722.8,208450,MCX.NS,50.998
2020-10-26,2020,1728.4,302635,MCX.NS,50.998
