,Code,Company,SecurityID,MarketCapFull,MarketCapFreeFloat,Industry
112,500233,KAJARIA CERAMICS LTD.,KAJARIACER,"19,175.50 Cr.","9,971.26 Cr.",Consumer Durables
113,500234,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,KAKATCEM,170.68 Cr.,73.39 Cr.,Construction Materials
114,500235,KALYANI STEELS LTD.,KSL,"3,932.92 Cr.","1,376.52 Cr.",Capital Goods
115,500236,Kanel Industries Limited,KANELIND,2.71 Cr.,2.71 Cr.,Services
116,500238,WHIRLPOOL OF INDIA LTD.,WHIRLPOOL,"18,994.62 Cr.","4,748.65 Cr.",Consumer Durables
117,500239,KG DENIM LTD.,KGDENIM,72.30 Cr.,27.47 Cr.,Textiles
118,500240,KINETIC ENGINEERING LTD.,KINETICENG,394.03 Cr.,161.55 Cr.,Automobile and Auto Components
119,500241,KIRLOSKAR BROTHERS LTD.,KIRLOSBROS,"10,299.73 Cr.","3,295.92 Cr.",Capital Goods
120,500243,Kirloskar Industries Ltd,KIRLOSIND,"5,178.66 Cr.","1,346.45 Cr.",Capital Goods
121,500245,KIRLOSKAR FERROUS INDUSTRIES LTD.,KIRLFER,"8,454.03 Cr.","3,550.69 Cr.",Metals & Mining
122,500246,ENVAIR ELECTRODYNE LTD.,ENVAIREL,115.47 Cr.,43.88 Cr.,Capital Goods
123,500247,KOTAK MAHINDRA BANK LTD.,KOTAKBANK,"3,19,737.20 Cr.","2,36,605.53 Cr.",Financial Services
124,500248,Krishna Filament Industries Ltd,KRIFILIND,3.42 Cr.,1.30 Cr.,Capital Goods
125,500249,KSB Ltd,KSB,"16,283.63 Cr.","4,885.09 Cr.",Capital Goods
126,500250,L.G.BALAKRISHNAN & BROS.LTD.,LGBBROSLTD,"4,109.27 Cr.","2,629.93 Cr.",Automobile and Auto Components
127,500251,TRENT LTD.,TRENT,"1,53,028.46 Cr.","94,877.65 Cr.",Consumer Services
128,500252,LAKSHMI MACHINE WORKS LTD.,LAXMIMACH,"17,818.60 Cr.","10,334.79 Cr.",Capital Goods
